date, value
3/23/09,53.8
3/24/09,53.98
3/25/09,52.77
3/26/09,54.34
3/27/09,52.38
3/30/09,48.41
3/31/09,49.66
4/1/09,48.39
4/2/09,52.64
4/3/09,52.51
4/6/09,51.05
4/7/09,49.15
4/8/09,49.38
4/9/09,52.24
4/13/09,50.05
4/14/09,49.41
4/15/09,49.25
4/16/09,50.416
4/17/09,51.186
4/20/09,47.458
4/21/09,48.142
4/22/09,48.85
4/23/09,49.62
4/24/09,51.55
4/27/09,50.14
4/28/09,49.92
4/29/09,50.97
4/30/09,51.12
5/1/09,53.2
5/4/09,54.47
5/5/09,53.84
5/6/09,56.34
5/7/09,56.71
5/8/09,58.63
5/11/09,58.5
5/12/09,58.85
5/13/09,58.02
5/14/09,58.78
5/15/09,56.604
5/18/09,59.366
5/19/09,60.01
5/20/09,62.04
5/21/09,61.05
5/22/09,61.67
5/26/09,62.45
5/27/09,63.45
5/28/09,65.08
5/29/09,66.31
6/1/09,68.58
6/2/09,68.55
6/3/09,66.12
6/4/09,68.81
6/5/09,68.44
6/8/09,68.09
6/9/09,70.01
6/10/09,71.33
6/11/09,72.68
6/12/09,72.04
6/15/09,70.62
6/16/09,70.47
6/17/09,71.164
6/18/09,71.586
6/19/09,69.832
6/22/09,67.386
6/23/09,69.24
6/24/09,68.67
6/25/09,70.23
6/26/09,69.16
6/29/09,71.49
6/30/09,69.89
7/1/09,69.31
7/2/09,66.73
7/6/09,64.05
7/7/09,62.93
7/8/09,60.14
7/9/09,60.41
7/10/09,59.89
7/13/09,59.69
7/14/09,59.52
7/15/09,61.54
7/16/09,62.228
7/17/09,63.968
7/20/09,64.766
7/21/09,65.432
7/22/09,65.4
7/23/09,67.16
7/24/09,68.05
7/27/09,68.38
7/28/09,67.23
7/29/09,63.35
7/30/09,66.94
7/31/09,69.45
8/3/09,71.58
8/4/09,71.42
8/5/09,71.97
8/6/09,71.94
8/7/09,70.93
8/10/09,70.6
8/11/09,69.45
8/12/09,70.16
8/13/09,70.52
8/14/09,67.51
8/17/09,67.162
8/18/09,69.95
8/19/09,73.266
8/20/09,72.836
8/21/09,73.89
8/24/09,74.37
8/25/09,72.05
8/26/09,71.43
8/27/09,72.49
8/28/09,72.74
8/31/09,69.96
9/1/09,68.05
9/2/09,68.05
9/3/09,67.96
9/4/09,68.02
9/8/09,71.1
9/9/09,71.31
9/10/09,71.94
9/11/09,69.29
