first_cmt,forum_links,last_posts,posts,stock_names
"Econpile bags RM45M MRT job, tomorrow limit up",#,"Mar 20, 11:02 PM","5,283",
"Econpile bags RM45M MRT job, tomorrow limit up",/servlets/forum/800003592.jsp,"Mar 20, 11:02 PM","5,283",Stock: [ECONBHD]: ECONPILE HOLDINGS BHD
h,/servlets/forum/800000925.jsp,"Mar 20, 11:01 PM","13,811",Stock: [DAYANG]: DAYANG ENTERPRISE HOLDINGS BHD
the Trive is more than 300% return counter in this two year.,/servlets/forum/800000139.jsp,"Mar 20, 11:01 PM","12,260",Stock: [TRIVE]: TRIVE PROPERTY GROUP BHD
"Dont worry , krono wont big drop . Nor will go up fast",/servlets/forum/800003947.jsp,"Mar 20, 11:00 PM","9,309",Stock: [KRONO]: KRONOLOGI ASIA BHD
the Netx is more than 300% return counter in this two year.,/servlets/forum/800000021.jsp,"Mar 20, 11:00 PM","13,706",Stock: [NETX]: NETX HOLDINGS BHD
"Yeah, why ah ? Not many people like this stock",/servlets/forum/800000141.jsp,"Mar 20, 10:59 PM","7,683",Stock: [VIS]: VISDYNAMICS HOLDINGS BHD
now 29.5cents ..RM30...!! millionair?? hahah...,/servlets/forum/800000035.jsp,"Mar 20, 10:58 PM","8,671",Stock: [REDTONE]: REDTONE INTERNATIONAL BHD
https://klse.i3investor.com/blogs/koonyewyinblog/  Uncle Koon has full confide...,/servlets/forum/800000918.jsp,"Mar 20, 10:57 PM",895,Stock: [PENERGY]: PETRA ENERGY BHD
"With high PE, still can go up? Penta also around PE 19+.",/servlets/forum/800000146.jsp,"Mar 20, 10:54 PM","5,285",Stock: [JHM]: JHM CONSOLIDATION BHD
Let's see how far HIB can go,/servlets/forum/800001960.jsp,"Mar 20, 10:53 PM","73,216",Stock: [HIBISCS]: HIBISCUS PETROLEUM BHD
PNB sell?,/servlets/forum/800003242.jsp,"Mar 20, 10:51 PM","11,704",Stock: [VELESTO]: VELESTO ENERGY BERHAD
"@catalystor, but what about Hengal Global? won't that be overlapping? I al...",/servlets/forum/800001458.jsp,"Mar 20, 10:47 PM",391,Stock: [WANGZNG]: WANG- ZHENG BHD
No worry. Drop equal buy more.. Good chance to collect. Demand will increase y...,/servlets/forum/800001331.jsp,"Mar 20, 10:47 PM","32,940",Stock: [SUPERMX]: SUPERMAX CORP BHD
"Hein, good luck ! guess you are fully loaded with DPS after all this years, ho...",/servlets/forum/800001452.jsp,"Mar 20, 10:47 PM","14,896",Stock: [DPS]: DPS RESOURCES BHD
Cresbld has been a laggard stock for a long time. I have bought and sold this ...,/servlets/forum/800001634.jsp,"Mar 20, 10:44 PM","1,211",Stock: [CRESBLD]: CREST BUILDER HOLDINGS BHD
“Our plantation business will definitely show a year-on-year improvement in te...,/servlets/forum/800001137.jsp,"Mar 20, 10:44 PM","4,211",Stock: [MKH]: MKH BHD
KUALA LUMPUR (March 20): Top Glove Corp Bhd is confident of maintaining an ave...,/servlets/forum/800001345.jsp,"Mar 20, 10:42 PM","19,482",Stock: [TOPGLOV]: TOP GLOVE CORP BHD
Aiyo...gasing...wei..apa cakap ni...weekend referee sudah highlighted..a few p...,/servlets/forum/800002393.jsp,"Mar 20, 10:41 PM","89,088",Stock: [SAPNRG]: SAPURA ENERGY BHD
"https://klse.i3investor.com/blogs/tapdance/198704.jsp  good write up, collect ...",/servlets/forum/800003964.jsp,"Mar 20, 10:39 PM","2,532",Stock: [OWG]: ONLY WORLD GROUP HOLDINGS BHD
Is the 1.3b stated in the contract? Are we just guessing only on 1.3b amount? ...,/servlets/forum/800001963.jsp,"Mar 20, 10:32 PM","14,287",Stock: [PRESBHD]: PRESTARIANG BERHAD
"Yesterday highest was 2.87..now drop back below 2.80 level, seems like its gra...",/servlets/forum/800000864.jsp,"Mar 20, 10:30 PM","103,593",Stock: [AIRASIA]: AIRASIA GROUP BHD
be careful dont be con !,/servlets/forum/800000117.jsp,"Mar 20, 10:29 PM","2,042",Stock: [BAHVEST]: BORNEO AQUA HARVEST BHD
Hopefully is not false breakout haha,/servlets/forum/800001671.jsp,"Mar 20, 10:28 PM","10,543",Stock: [EG]: EG INDUSTRIES BHD
Looking forward for privatisation or land/ asset re-evaluation.,/servlets/forum/800003035.jsp,"Mar 20, 10:28 PM","1,929",Stock: [MPHBCAP]: MPHB CAPITAL BHD
Good news Tomorrow will go up to 0.83 CTS..,/servlets/forum/800000364.jsp,"Mar 20, 10:28 PM","20,251",Stock: [IWCITY]: ISKANDAR WATERFRONT CITY BHD
all in,/servlets/forum/800000828.jsp,"Mar 20, 10:27 PM","5,335",Stock: [HIAPTEK]: HIAP TECK VENTURE BHD
Now he n his wife can cleared all from little ikan bilis now. Imagine sold 1 4...,/servlets/forum/800000129.jsp,"Mar 20, 10:27 PM","2,219",Stock: [N2N]: N2N CONNECT BHD
the price still consider low compared to other oil & gas counter.. still a...,/servlets/forum/800001955.jsp,"Mar 20, 10:27 PM","25,038",Stock: [ARMADA]: BUMI ARMADA BHD
will i entitle free warant if buy on EX date - today?,/servlets/forum/800000888.jsp,"Mar 20, 10:27 PM","10,417",Stock: [ALAM]: ALAM MARITIM RESOURCES BHD
just hold it. little bit slow but it will fly high soon,/servlets/forum/800000005.jsp,"Mar 20, 10:26 PM","9,226",Stock: [UCREST]: UCREST BHD
probaby this week or next week will fly high.. keep accumulate,/servlets/forum/800000486.jsp,"Mar 20, 10:25 PM","20,756",Stock: [HUAAN]: SINO HUA-AN INTERNATIONAL BHD
"If by end this week close at 0.455 or 0.46, expect to fly to 0.49 end next week",/servlets/forum/800001713.jsp,"Mar 20, 10:25 PM","6,306",Stock: [LAYHONG]: LAY HONG BHD
"Don't  be Pondan Celaka 1 , Playboy  Kampong Don Juan ...... BE  GREEEEEEE...",/servlets/forum/800000824.jsp,"Mar 20, 10:18 PM","20,904",Stock: [LUSTER]: LUSTER INDUSTRIES BHD
"Tomorrow if optimistically close at 0.505, then can get ready to fly",/servlets/forum/800001924.jsp,"Mar 20, 10:17 PM","9,690",Stock: [SENDAI]: EVERSENDAI CORPORATION BERHAD
Uptrend for now,/servlets/forum/800000132.jsp,"Mar 20, 10:08 PM","11,785",Stock: [K1]: K-ONE TECHNOLOGY BHD
This cb counter cost me thousands in warrants pfft,/servlets/forum/800000378.jsp,"Mar 20, 10:06 PM","24,483",Stock: [MRCB]: MALAYSIAN RESOURCES CORP BHD
sailang la,/servlets/forum/800000589.jsp,"Mar 20, 10:04 PM","5,074",Stock: [MFLOUR]: MALAYAN FLOUR MILLS BHD
Top volume but cannot move...,/servlets/forum/800000028.jsp,"Mar 20, 10:00 PM","8,302",Stock: [JAG]: JAG BHD
Want to buy leong shares loh... Hope that it will be selling like in Pasar Mal...,/servlets/forum/800001508.jsp,"Mar 20, 09:59 PM","1,118",Stock: [SCGM]: SCGM BHD
Vitrox is already too expensive. I saw it when it's about 3++. That also I...,/servlets/forum/800000520.jsp,"Mar 20, 09:55 PM","10,718",Stock: [GENTING]: GENTING BHD
"wuzy sifu, test run la ma...",/servlets/forum/800005273.jsp,"Mar 20, 09:54 PM","4,939",Stock: [PTRANS]: PERAK TRANSIT BHD
Bila itu independent report mau keluar?,/servlets/forum/800000332.jsp,"Mar 20, 09:50 PM","2,251",Stock: [MAA]: MAA GROUP BHD
"zolasteven - By the way, why does other people wants to buy at Rm3.10?  If you...",/servlets/forum/800000579.jsp,"Mar 20, 09:48 PM",654,Stock: [KIANJOO]: KIAN JOO CAN FACTORY BHD
cup and handle,/servlets/forum/800000671.jsp,"Mar 20, 09:48 PM","3,659",Stock: [WTK]: WTK HOLDINGS BHD
"Noted Calvin, still holding on here. if the ECRL on hold for quite sometime, p...",/servlets/forum/800001298.jsp,"Mar 20, 09:46 PM","5,816",Stock: [AZRB]: AHMAD ZAKI RESOURCES BHD
Good idea.,/servlets/forum/800001742.jsp,"Mar 20, 09:41 PM","13,114",Stock: [WCT]: WCT HOLDINGS BERHAD
somebody buy 999 lots of ijm,/servlets/forum/800000547.jsp,"Mar 20, 09:40 PM","1,335",Stock: [IJM]: IJM CORP BHD
stay tuned!! count down few days for bombastic announcement!!,/servlets/forum/800001219.jsp,"Mar 20, 09:37 PM","25,690",Stock: [VS]: V.S INDUSTRY BHD
