Date,Price(RM)
"Wed, 20 Mar 2019",2164
"Tue, 19 Mar 2019",2131
"Mon, 18 Mar 2019",2105
"Fri, 15 Mar 2019",2067
"Thu, 14 Mar 2019",2063
"Wed, 13 Mar 2019",2091
"Tue, 12 Mar 2019",2116
"Mon, 11 Mar 2019",2119
"Fri, 08 Mar 2019",2125
"Thu, 07 Mar 2019",2135
"Wed, 06 Mar 2019",2157
"Tue, 05 Mar 2019",2161
"Mon, 04 Mar 2019",2149
"Fri, 01 Mar 2019",2189
"Thu, 28 Feb 2019",2121
"Wed, 27 Feb 2019",2132
"Tue, 26 Feb 2019",2183
"Mon, 25 Feb 2019",2213
"Fri, 22 Feb 2019",2257
"Thu, 21 Feb 2019",2264
"Wed, 20 Feb 2019",2245
"Tue, 19 Feb 2019",2260
"Mon, 18 Feb 2019",2286
"Fri, 15 Feb 2019",2273
"Thu, 14 Feb 2019",2277
"Wed, 13 Feb 2019",2250
"Tue, 12 Feb 2019",2254
"Mon, 11 Feb 2019",2266
"Fri, 08 Feb 2019",2290
"Thu, 07 Feb 2019",2318
"Mon, 04 Feb 2019",2306
"Thu, 31 Jan 2019",2299
"Wed, 30 Jan 2019",2303
"Tue, 29 Jan 2019",2294
"Mon, 28 Jan 2019",2327
"Fri, 25 Jan 2019",2294
"Thu, 24 Jan 2019",2297
"Wed, 23 Jan 2019",2283
"Tue, 22 Jan 2019",2263
"Fri, 18 Jan 2019",2226
"Thu, 17 Jan 2019",2198
"Wed, 16 Jan 2019",2175
"Tue, 15 Jan 2019",2146
"Mon, 14 Jan 2019",2136
"Fri, 11 Jan 2019",2171
"Thu, 10 Jan 2019",2163
"Wed, 09 Jan 2019",2182
"Tue, 08 Jan 2019",2178
"Mon, 07 Jan 2019",2160
"Fri, 04 Jan 2019",2172
"Thu, 03 Jan 2019",2151
"Wed, 02 Jan 2019",2166
"Mon, 31 Dec 2018",2121
"Fri, 28 Dec 2018",2121
"Thu, 27 Dec 2018",2105
"Wed, 26 Dec 2018",2094
"Mon, 24 Dec 2018",2128
"Fri, 21 Dec 2018",2157
"Thu, 20 Dec 2018",2185
"Wed, 19 Dec 2018",2198
