user,post_date,post_text,favorite_count
"capitalvia_my","Wed Mar 20 08:08:14 +0000 2019","The #Malaysian #government is looking to consider listing its #matured government entities in the #stock #market in... https://t.co/PavW8jS3Lu","0"
"research_felix","Wed Mar 20 05:54:04 +0000 2019","BUY ORION AT 0.200 TGT 0.250 SL 0.150https://t.co/4kGM1BrE4O  #InvestMalaysia2019 @research_felix... https://t.co/IKyfqyDMOh","0"
"ernsheong","Wed Mar 20 04:25:04 +0000 2019","@asyrique Truth is, the KLSE is not a place startups here aspire to end up at. KLSE isn't the most vibrant stock ma... https://t.co/It2kQky7B2","0"
"SGXcafe","Wed Mar 20 02:43:11 +0000 2019","Trending #KLSE News - Quick take: IHH Healthcare sees 1.4b shares crossed at RM8.4b: KUALA LUMPUR: ... - https://t.co/HeXdS6nMfo","0"
"MPOCEurope","Tue Mar 19 10:18:03 +0000 2019","RT @teresakok: Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH","0"
"GurneetKhanna","Tue Mar 19 08:39:45 +0000 2019","Tired of losing in Forex and Comex,KlseJoin Our Signals to Recover Your losses,Get Huge Returns From Our Forex Si... https://t.co/gB2MdsG0kw","0"
"capitalvia_my","Tue Mar 19 08:18:36 +0000 2019","#Malaysia has maintained its strong #position globally, ranking second highest in #Southeast #Asia and 12th out of... https://t.co/oKAzy8SkZP","0"
"AryanSo45810863","Tue Mar 19 06:06:33 +0000 2019","!!!!!KLSE BUY  ASTRO (CODE : 6399) ABOVE 1.6 TGT 1.68-1.76  SL 1.52@forexxtrading @Unlocked28 @365fx... https://t.co/PFPRddxO8F","1"
"_mvnal","Tue Mar 19 01:32:31 +0000 2019","I really wanted to surprise majoe pero hehe naa juy klse","2"
"SGXcafe","Mon Mar 18 16:43:09 +0000 2019","Trending #KLSE News - Quick take: Boustead shares up on assets disposal move: KUALA LUMPUR: Shares ... - https://t.co/Ib5mC2KYNH","0"
"kthlnesklit","Mon Mar 18 08:27:54 +0000 2019","Ok way klse ugma","2"
"NyapMingTim","Mon Mar 18 07:43:07 +0000 2019","RT @ilv83693630: @bernamadotcom @arifsetia20132d @chedetofficial Name one,MaybankCimbPetronas They are all GLC controlling 70% of Wealt...","0"
"NonVitalTooth","Sun Mar 17 13:22:25 +0000 2019","RT @teresakok: Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH","0"
"mpocHQ","Sun Mar 17 05:34:23 +0000 2019","RT @teresakok: Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH","0"
"wklsew","Sat Mar 16 21:29:09 +0000 2019","Thought about teaming, but then... some things you got to do for self...#KLSe#LivingWealth","0"
"AnneFHLoganKent","Wed Mar 20 09:14:46 +0000 2019","RT @DawnLyon65: Last year we welcomed students from Sweden, USA, Czech republic and Malaysia! #kenturbanparis18 Looking forward to more int...","0"
"RTM_Malaysia","Wed Mar 20 09:14:40 +0000 2019","Courtesy Call by Mr Stefan Priesner, UN ResidentCoordinator in Malaysia on YB Tuan Gobind Singh Deo, Minister of C... https://t.co/6dwWBEzL9k","0"
"1MalachiD","Wed Mar 20 09:14:31 +0000 2019","RT @business: Malaysian sovereign fund Khazanah is considering closing its London office to cut operating costs https://t.co/aQlz05FVmq","0"
"nadeasyakiela_","Wed Mar 20 09:14:29 +0000 2019","RT @tshzhri: University of Canterbury held a beautiful memorial service attended by thousands of students and staff. This is Shahmi, an alu...","0"
"shaokamsan","Wed Mar 20 09:14:28 +0000 2019","RT @PangKheeTeik: Wah, the son of Karpal Singh speaks up, making him the third person from DAP (after Charles Santiago and Nalini Nair) to...","0"
